site,date,uncertain_fraction,consensus_water_fraction
Burdur Lake,2024-10-01,0.01414091316561367,0.07420155984558872
Burdur Lake,2025-01-01,0.03678759078847552,0.07962903828169186
Burdur Lake,2025-04-01,0.010484247148859852,0.08236948348750624
Burdur Lake,2025-07-01,0.004449628422634141,0.07427962350212616
Burdur Lake,2025-10-01,0.003597276411388079,0.07373317790636408
Burdur Lake,2026-01-01,0.13357513356256562,0.08105883578037762
Burdur Lake,2026-04-01,0.011215580352210616,0.08434572658195409
Tuz Lake,2024-10-01,0.12114268627045076,0.04113841836629421
Tuz Lake,2025-01-01,0.06985707212111336,0.15264265836213992
Tuz Lake,2025-04-01,0.07152863887599363,0.1309920381532914
Tuz Lake,2025-07-01,0.12892267158255036,0.025526970328255166
Tuz Lake,2025-10-01,0.0852310599388827,0.07341932390208682
Tuz Lake,2026-01-01,0.23586471530577635,0.13347569352990205
Tuz Lake,2026-04-01,0.05187835329881635,0.14577766958909485
Kizilirmak Delta,2024-10-01,0.0068940579991760955,0.6049906298377474
Kizilirmak Delta,2025-01-01,0.006726874986148043,0.6081348745999882
Kizilirmak Delta,2025-04-01,0.053469368267738605,0.4887239671742889
Kizilirmak Delta,2025-07-01,0.006758358184465561,0.5995478223998464
Kizilirmak Delta,2025-10-01,0.008208964621850232,0.5963556889981605
Kizilirmak Delta,2026-01-01,0.2215874257131259,0.574295287055914
Kizilirmak Delta,2026-04-01,0.009639563782475304,0.6046587745803255
Ataturk Reservoir,2024-10-01,0.005149876940806988,0.092084976010028
Ataturk Reservoir,2025-01-01,0.1127278632953911,0.09219795009388741
Ataturk Reservoir,2025-04-01,0.013572301909383003,0.08894566381887162
Ataturk Reservoir,2025-07-01,0.005490037390898747,0.09095410695616948
Ataturk Reservoir,2025-10-01,0.005679574007487038,0.08780574775581666
Ataturk Reservoir,2026-01-01,0.5143036479414345,0.08965935931337304
Ataturk Reservoir,2026-04-01,0.058565565683727706,0.09248293088357452
